Feature Name,Mouse Mean,Mouse Std,Rat Mean,Rat Std,t-statistic,p-value,Significant,Corrected p-value,Significant after correction
inv_third_ISI.steady_state_current,77.4692,26.0535,38.3999,15.6623,3.0678,0.0147,yes,1,False
inv_time_to_first_spike.rheobase_current,29.6087,15.0338,2.6828,0.4786,4.3844,0.0071,yes,1,False
inv_time_to_first_spike.steady_state_current,109.7604,54.5545,11.8544,6.5394,4.3586,0.0068,yes,1,False
maximum_fI_slope.global,0.7232,0.191,0.5081,0.0765,2.526,0.0404,yes,1,False
maximum_voltage.highfreq_firing_current,14.309,12.0717,32.6538,3.7436,-3.5246,0.0121,yes,1,False
maximum_voltage.rheobase_current,12.9763,10.7903,37.3962,4.572,-5.0283,0.0015,yes,0.2766,False
maximum_voltage.steady_state_current,14.0048,11.6794,36.3342,4.128,-4.3672,0.004,yes,0.7273,False
maximum_voltage_from_voltagebase.highfreq_firing_current,79.5016,10.5711,98.6487,3.4782,-4.1738,0.0053,yes,0.9681,False
maximum_voltage_from_voltagebase.rheobase_current,76.9518,9.5897,102.0276,3.9471,-5.839,0.0007,yes,0.1227,False
maximum_voltage_from_voltagebase.steady_state_current,78.1851,10.131,101.4551,3.8158,-5.201,0.0015,yes,0.271,False
number_initial_spikes.rheobase_current,1.3611,0.6815,0,0,4.8919,0.0045,yes,0.8156,False
number_initial_spikes.steady_state_current,5.6389,1.7458,1,0.8944,5.6759,0.0005,yes,0.0975,False
peak_voltage.highfreq_firing_current,10.6543,9.4189,24.4251,5.9854,-2.9392,0.0175,yes,1,False
peak_voltage.rheobase_current,12.1441,10.7273,35.0632,4.2907,-4.7935,0.0022,yes,0.3898,False
peak_voltage.steady_state_current,12.1427,10.4942,33.5554,3.7258,-4.6581,0.0029,yes,0.5222,False
rheobase_current.global,0.0554,0.0503,0.3126,0.0545,-8.0747,0,yes,0.0059,True
rheobase_prev_current.global,-0.0051,0.0457,0.2526,0.0403,-9.9407,0,yes,0.0007,True
spike_half_width.steady_state_current,0.4933,0.1009,0.3793,0.0544,2.3829,0.0447,yes,1,False
steady_state_current.global,0.1399,0.0922,0.3926,0.0736,-5.0527,0.0007,yes,0.1247,False
steady_state_hyper.rheobase_prev_current,-64.3394,8.7596,-51.51,4.2583,-3.1665,0.0145,yes,1,False
time_to_first_spike.rheobase_current,133.0181,91.9136,385.47,72.3097,-5.0964,0.0007,yes,0.1178,False
time_to_first_spike.steady_state_current,12.3958,5.7486,111.37,54.5463,-4.0387,0.0151,yes,1,False
time_to_second_spike.steady_state_current,25.4,8.2039,158.11,71.2726,-4.1408,0.0137,yes,1,False
voltage_deflection.standard_negative_current,-7.1572,2.0885,-4.753,0.5686,-2.7022,0.0362,yes,1,False
